id,name,type,phase,frozen,durationSeconds,startTimeSeconds,relativeTimeSeconds,freezeDurationSeconds
2101,Codeforces Round 1024 (Div. 1),CF,BEFORE,False,9000,1746974100,-248216,
2102,Codeforces Round 1024 (Div. 2),CF,BEFORE,False,9000,1746974100,-248216,
2107,Codeforces Round 1023 (Div. 2),CF,FINISHED,False,8100,1746455700,270184,
2108,Codeforces Round 1022 (Div. 2),CF,FINISHED,False,7200,1746110100,615784,
2104,Educational Codeforces Round 178 (Rated for Div. 2),ICPC,FINISHED,False,7200,1745850900,874984,
2097,Codeforces Round 1021 (Div. 1),CF,FINISHED,False,10800,1745656500,1069384,
2098,Codeforces Round 1021 (Div. 2),CF,FINISHED,False,10800,1745656500,1069384,
2106,Codeforces Round 1020 (Div. 3),ICPC,FINISHED,False,8100,1745505300,1220584,
2103,Codeforces Round 1019 (Div. 2),CF,FINISHED,False,7200,1745246100,1479784,
2105,Tact Smart Battle 1,IOI,FINISHED,False,604800,1745226000,1499884,
2096,"Neowise Labs Contest 1 (Codeforces Round 1018, Div. 1 + Div. 2)",CF,FINISHED,False,7200,1745073300,1652584,
2094,Codeforces Round 1017 (Div. 4),ICPC,FINISHED,False,8100,1744558500,2167384,
2093,Codeforces Round 1016 (Div. 3),ICPC,FINISHED,False,8100,1744122900,2602984,
2087,Kotlin Heroes: Episode 12,ICPC,FINISHED,False,9000,1744036500,2689384,
2084,"Teza Round 1 (Codeforces Round 1015, Div. 1 + Div. 2)",CF,FINISHED,False,10800,1743863700,2862184,
2086,Educational Codeforces Round 177 (Rated for Div. 2),ICPC,FINISHED,False,7200,1743690900,3034984,
2095,April Fools Day Contest 2025,ICPC,FINISHED,False,7200,1743518100,3207784,
2088,Kotlin Heroes: Practice 12,ICPC,FINISHED,False,604800,1743428100,3297784,
2092,Codeforces Round 1014 (Div. 2),CF,FINISHED,False,7200,1743258900,3466984,
2091,Codeforces Round 1013 (Div. 3),ICPC,FINISHED,False,8100,1742913300,3812584,
2089,Codeforces Round 1012 (Div. 1),CF,FINISHED,False,9000,1742708100,4017784,
2090,Codeforces Round 1012 (Div. 2),CF,FINISHED,False,9000,1742708100,4017784,
2085,Codeforces Round 1011 (Div. 2),CF,FINISHED,False,7200,1742654100,4071784,
2075,Educational Codeforces Round 176 (Rated for Div. 2),ICPC,FINISHED,False,7200,1742222100,4503784,
2081,"Codeforces Round 1010 (Div. 1, Unrated)",CF,FINISHED,False,10800,1742049300,4676584,
2082,"Codeforces Round 1010 (Div. 2, Unrated)",CF,FINISHED,False,10800,1742049300,4676584,
2074,Codeforces Round 1009 (Div. 3),ICPC,FINISHED,False,9000,1741703700,5022184,
2077,Codeforces Round 1008 (Div. 1),CF,FINISHED,False,9000,1741617900,5107984,
2078,Codeforces Round 1008 (Div. 2),CF,FINISHED,False,9000,1741617900,5107984,
2080,"XIX Open Olympiad in Informatics - Final Stage, Day 2 (Unrated, Online Mirror, IOI rules)",IOI,FINISHED,False,18000,1741593900,5131984,
2079,"XIX Open Olympiad in Informatics - Final Stage, Day 1 (Unrated, Online Mirror, IOI rules)",IOI,FINISHED,False,18000,1741334700,5391184,
2068,"European Championship 2025 - Online Mirror (Unrated, ICPC Rules, Teams Preferred)",ICPC,FINISHED,False,18000,1740911700,5814184,
2073,"2025 ICPC Asia Pacific Championship - Online Mirror (Unrated, Online Mirror, ICPC Rules, Teams Preferred)",ICPC,FINISHED,False,18000,1740794700,5931184,
2071,Codeforces Round 1007 (Div. 2),CF,FINISHED,False,8100,1740753300,5972584,
2070,Educational Codeforces Round 175 (Rated for Div. 2),ICPC,FINISHED,False,7200,1740666900,6058984,
2072,Codeforces Round 1006 (Div. 3),ICPC,FINISHED,False,8100,1740494100,6231784,
2069,Educational Codeforces Round 174 (Rated for Div. 2),ICPC,FINISHED,False,7200,1739889300,6836584,
2064,Codeforces Round 1005 (Div. 2),CF,FINISHED,False,7200,1739716500,7009384,
2066,Codeforces Round 1004 (Div. 1),CF,FINISHED,False,7200,1739284500,7441384,
2067,Codeforces Round 1004 (Div. 2),CF,FINISHED,False,7200,1739284500,7441384,
2065,Codeforces Round 1003 (Div. 4),ICPC,FINISHED,False,8100,1739111700,7614184,
2059,Codeforces Round 1002 (Div. 2),CF,FINISHED,False,7200,1738506900,8218984,
2062,"Ethflow Round 1 (Codeforces Round 1001, Div. 1 + Div. 2)",CF,FINISHED,False,9000,1737902100,8823784,
2063,Codeforces Round 1000 (Div. 2),CF,FINISHED,False,7200,1737547500,9178384,
2061,"IAEPC Preliminary Contest (Codeforces Round 999, Div. 1 + Div. 2)",CF,FINISHED,False,10800,1737383700,9342184,
2060,Codeforces Round 998 (Div. 3),ICPC,FINISHED,False,9000,1737297300,9428584,
2056,Codeforces Round 997 (Div. 2),CF,FINISHED,False,7200,1737124500,9601384,
2055,Codeforces Round 996 (Div. 2),CF,FINISHED,False,7200,1736692500,10033384,
2057,Hello 2025,CF,FINISHED,False,9000,1736001300,10724584,
2053,Good Bye 2024: 2025 is NEAR,CF,FINISHED,False,10800,1735396500,11329384,
2043,Educational Codeforces Round 173 (Rated for Div. 2),ICPC,FINISHED,False,7200,1735050900,11674984,
2054,MaraTON Challenge 1,IOI,FINISHED,False,1814400,1734960900,11764984,
2051,Codeforces Round 995 (Div. 3),ICPC,FINISHED,False,8100,1734878100,11847784,
2049,Codeforces Round 994 (Div. 2),CF,FINISHED,False,7200,1734705300,12020584,
2048,Codeforces Global Round 28,CF,FINISHED,False,10800,1734618900,12106984,
2044,Codeforces Round 993 (Div. 4),ICPC,FINISHED,False,8100,1734273300,12452584,
2052,"2024-2025 ICPC, NERC, Northern Eurasia Finals (Unrated, Online Mirror, ICPC Rules, Teams Preferred)",ICPC,FINISHED,False,18000,1734248100,12477784,
2040,Codeforces Round 992 (Div. 2),CF,FINISHED,False,7200,1733668500,13057384,
2050,Codeforces Round 991 (Div. 3),ICPC,FINISHED,False,8100,1733409300,13316584,
2046,Codeforces Round 990 (Div. 1),CF,FINISHED,False,7200,1733207100,13518784,
2047,Codeforces Round 990 (Div. 2),CF,FINISHED,False,7200,1733207100,13518784,
2042,Educational Codeforces Round 172 (Rated for Div. 2),ICPC,FINISHED,False,7200,1733150100,13575784,
