id,name,type,phase,durationSeconds,startTime
2109,Codeforces Round (Div. 2),CF,BEFORE,7200,2025-05-17 14:35:00
2101,Codeforces Round 1024 (Div. 1),CF,BEFORE,9000,2025-05-11 14:35:00
2102,Codeforces Round 1024 (Div. 2),CF,BEFORE,9000,2025-05-11 14:35:00
2107,Codeforces Round 1023 (Div. 2),CF,FINISHED,8100,2025-05-05 14:35:00
2108,Codeforces Round 1022 (Div. 2),CF,FINISHED,7200,2025-05-01 14:35:00
2104,Educational Codeforces Round 178 (Rated for Div. 2),ICPC,FINISHED,7200,2025-04-28 14:35:00
2097,Codeforces Round 1021 (Div. 1),CF,FINISHED,10800,2025-04-26 08:35:00
2098,Codeforces Round 1021 (Div. 2),CF,FINISHED,10800,2025-04-26 08:35:00
2106,Codeforces Round 1020 (Div. 3),ICPC,FINISHED,8100,2025-04-24 14:35:00
2103,Codeforces Round 1019 (Div. 2),CF,FINISHED,7200,2025-04-21 14:35:00
2105,Tact Smart Battle 1,IOI,FINISHED,604800,2025-04-21 09:00:00
2096,"Neowise Labs Contest 1 (Codeforces Round 1018, Div. 1 + Div. 2)",CF,FINISHED,7200,2025-04-19 14:35:00
2094,Codeforces Round 1017 (Div. 4),ICPC,FINISHED,8100,2025-04-13 15:35:00
2093,Codeforces Round 1016 (Div. 3),ICPC,FINISHED,8100,2025-04-08 14:35:00
2087,Kotlin Heroes: Episode 12,ICPC,FINISHED,9000,2025-04-07 14:35:00
2084,"Teza Round 1 (Codeforces Round 1015, Div. 1 + Div. 2)",CF,FINISHED,10800,2025-04-05 14:35:00
2086,Educational Codeforces Round 177 (Rated for Div. 2),ICPC,FINISHED,7200,2025-04-03 14:35:00
2095,April Fools Day Contest 2025,ICPC,FINISHED,7200,2025-04-01 14:35:00
2088,Kotlin Heroes: Practice 12,ICPC,FINISHED,604800,2025-03-31 13:35:00
2092,Codeforces Round 1014 (Div. 2),CF,FINISHED,7200,2025-03-29 14:35:00
2091,Codeforces Round 1013 (Div. 3),ICPC,FINISHED,8100,2025-03-25 14:35:00
2089,Codeforces Round 1012 (Div. 1),CF,FINISHED,9000,2025-03-23 05:35:00
2090,Codeforces Round 1012 (Div. 2),CF,FINISHED,9000,2025-03-23 05:35:00
2085,Codeforces Round 1011 (Div. 2),CF,FINISHED,7200,2025-03-22 14:35:00
2075,Educational Codeforces Round 176 (Rated for Div. 2),ICPC,FINISHED,7200,2025-03-17 14:35:00
2081,"Codeforces Round 1010 (Div. 1, Unrated)",CF,FINISHED,10800,2025-03-15 14:35:00
2082,"Codeforces Round 1010 (Div. 2, Unrated)",CF,FINISHED,10800,2025-03-15 14:35:00
2074,Codeforces Round 1009 (Div. 3),ICPC,FINISHED,9000,2025-03-11 14:35:00
2077,Codeforces Round 1008 (Div. 1),CF,FINISHED,9000,2025-03-10 14:45:00
2078,Codeforces Round 1008 (Div. 2),CF,FINISHED,9000,2025-03-10 14:45:00
2080,"XIX Open Olympiad in Informatics - Final Stage, Day 2 (Unrated, Online Mirror, IOI rules)",IOI,FINISHED,18000,2025-03-10 08:05:00
2079,"XIX Open Olympiad in Informatics - Final Stage, Day 1 (Unrated, Online Mirror, IOI rules)",IOI,FINISHED,18000,2025-03-07 08:05:00
2068,"European Championship 2025 - Online Mirror (Unrated, ICPC Rules, Teams Preferred)",ICPC,FINISHED,18000,2025-03-02 10:35:00
2073,"2025 ICPC Asia Pacific Championship - Online Mirror (Unrated, Online Mirror, ICPC Rules, Teams Preferred)",ICPC,FINISHED,18000,2025-03-01 02:05:00
2071,Codeforces Round 1007 (Div. 2),CF,FINISHED,8100,2025-02-28 14:35:00
